area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c07;c08a;c09;c10;c11;c12;c13;c14;c18;c19;c20a;c21a;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;010150;019002;052;07;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2712;89,1528690844564;010150019002;01015001900205207;010150019002052071;202601
1;010150;020901;074;01;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;42,323391091179;010150020901;01015002090107401;010150020901074011;202601
1;010150;020901;074;02;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;42,323391091179;010150020901;01015002090107402;010150020901074021;202601
1;010150;020901;074;03;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;42,323391091179;010150020901;01015002090107403;010150020901074031;202601
1;010150;020901;074;04;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2711;42,323391091179;010150020901;01015002090107404;010150020901074041;202601
1;010150;020901;074;05;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2711;42,323391091179;010150020901;01015002090107405;010150020901074051;202601
1;010150;020901;074;06;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2711;42,323391091179;010150020901;01015002090107406;010150020901074061;202601
1;010150;020901;074;07;1;2;2;1;2;2;2;3;3;2;2;2;2;3;2;2;2;2711;42,323391091179;010150020901;01015002090107407;010150020901074071;202601
1;010150;021302;052;01;1;2;2;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2712;50,4809639232964;010150021302;01015002130205201;010150021302052011;202601
1;010150;021302;052;02;1;3;2;2;3;3;3;3;2;2;2;2;2;2;3;3;3;2712;50,4809639232964;010150021302;01015002130205202;010150021302052021;202601
1;010150;021302;052;03;1;3;3;2;2;2;2;2;2;2;2;3;3;2;2;2;3;2712;50,4809639232964;010150021302;01015002130205203;010150021302052031;202601
1;010150;021302;052;04;1;2;3;2;2;1;1;3;3;3;3;3;3;3;3;3;3;2712;50,4809639232964;010150021302;01015002130205204;010150021302052041;202601
1;010150;021302;052;05;1;1;1;2;2;3;3;3;3;3;3;2;3;2;1;2;2;2712;50,4809639232964;010150021302;01015002130205205;010150021302052051;202601
1;010150;021302;052;06;1;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2712;50,4809639232964;010150021302;01015002130205206;010150021302052061;202601
